hh_id,ptc_id,wave,wealth_index
HH20180996,PT2018099600,1,2.0372263078995583
HH20180328,PT2018032800,1,2.9325241704515745
HH20180329,PT2018032900,1,8.42714283980924
HH20180330,PT2018033000,1,0.2888260714749283
HH20180331,PT2018033100,1,6.017258290458145
HH20180367,PT2018036700,1,4.989094937114311
HH20180368,PT2018036800,1,0.29457929268947797
HH20180369,PT2018036900,1,-1.786430369415325
HH20180370,PT2018037000,1,-0.9954884786115077
HH20180590,PT2018059000,1,-6.981206673017619
HH20180591,PT2018059100,1,-2.365353022357712
HH20180592,PT2018059200,1,3.2447510453645183
HH20180598,PT2018059800,1,1.5105094952327123
HH20180655,PT2018065500,1,-2.0702995196073473
HH20180656,PT2018065600,1,11.260184975911574
HH20180657,PT2018065700,1,1.0087348941053007
HH20180658,PT2018065800,1,10.559321857810671
HH20180997,PT2018099700,1,-0.9654383819153677
HH20181071,PT2018107100,1,2.293372041341749
HH20181072,PT2018107200,1,3.9814815214304704
HH20181074,PT2018107400,1,-3.274969326128535
HH20180407,PT2018040700,1,-0.6837558066698743
HH20180439,PT2018043900,1,-2.2788131257516184
HH20180440,PT2018044000,1,1.4548754180135453
HH20180441,PT2018044100,1,-3.8035223991334326
HH20180442,PT2018044200,1,11.677575070651281
HH20180464,PT2018046400,1,0.45446964380954513
HH20180465,PT2018046500,1,-1.169505506905617
HH20180466,PT2018046600,1,1.4597117031317632
HH20180467,PT2018046700,1,0.299554307761567
HH20180468,PT2018046800,1,-0.43019171212254337
HH20180910,PT2018091000,1,-3.7009592703065155
HH20180911,PT2018091100,1,-2.292372970317475
HH20180912,PT2018091200,1,1.683635226698027
HH20180913,PT2018091300,1,4.460511819339382
HH20180914,PT2018091400,1,1.7155637096497387
HH20181080,PT2018108000,1,-3.896050562082261
HH20181081,PT2018108100,1,3.570620333910822
HH20181082,PT2018108200,1,0.7623712926969872
HH20181083,PT2018108300,1,-0.06783981377342711
HH20181153,PT2018115300,1,-3.5456132351278735
HH20180323,PT2018032300,1,-0.18073388575855512
HH20180324,PT2018032400,1,-3.4033551418608416
HH20180325,PT2018032500,1,-1.56916286954937
HH20180326,PT2018032600,1,-0.023411799095038755
HH20180366,PT2018036600,1,-5.550472561651704
HH20180377,PT2018037700,1,-0.6990910136137025
HH20180580,PT2018058000,1,1.3058028999134763
HH20180581,PT2018058100,1,1.229448735738547
HH20180582,PT2018058200,1,5.316784463700894
HH20180583,PT2018058300,1,0.9768721637319487
HH20180584,PT2018058400,1,0.4557948714023739
HH20180585,PT2018058500,1,-1.5406338285031789
HH20180586,PT2018058600,1,-2.1603455810398144
HH20180587,PT2018058700,1,1.0357792644335784
HH20180588,PT2018058800,1,-3.461513989764456
HH20180589,PT2018058900,1,2.42486414430652
HH20180998,PT2018099800,1,0.8294609238921568
HH20180999,PT2018099900,1,-2.337585329548914
HH20181073,PT2018107300,1,5.880397454011136
HH20181078,PT2018107800,1,-3.240890953051706
HH20180412,PT2018041200,1,-3.9513029241053257
